Student_ID,Age,Gender,Vocational_Program,Academic_Performance,Certifications_Count,Internship_Experience,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Job_ID,Job_Title,Required_Skill_1,Required_Skill_2,Required_Skill_3,Required_Skill_4,Required_Skill_5,Min_Experience_Months,Location,Job_Match
S0001,24,Male,Welder,51.38,2,8,8,2,5,7,6,J219,IT Support Technician,1,6,3,4,0,3,Pune,1
S0002,21,Male,Plumber,67.83,2,0,5,1,6,7,0,J177,Plumbing Assistant,10,9,5,6,2,2,Pune,0
S0003,28,Female,Mechanic,82.67,3,8,8,3,7,9,6,J104,Welding Operator,9,1,9,6,0,6,Pune,1
S0004,25,Female,Electrician,85.41,1,5,9,6,1,0,3,J236,Plumbing Assistant,1,2,3,4,3,3,Chennai,1
S0005,22,Male,IT Technician,53.47,4,3,1,7,9,6,7,J093,Woodwork Assistant,9,2,0,6,9,4,Mumbai,0
S0006,24,Male,Mechanic,71.53,4,9,10,5,0,8,5,J201,Electrical Technician,5,1,1,2,7,6,Pune,1
S0007,27,Female,Electrician,86.53,2,6,9,0,0,7,5,J299,Electrical Technician,7,9,9,9,9,3,Chennai,0
S0008,20,Female,Electrician,65.52,4,8,7,7,10,7,9,J231,Automobile Mechanic,10,7,6,1,0,5,Chennai,1
S0009,24,Male,Carpenter,83.18,5,4,6,6,9,3,8,J255,Plumbing Assistant,5,10,7,0,2,8,Bangalore,0
S0010,28,Male,Electrician,55.35,4,4,1,10,8,9,2,J085,IT Support Technician,0,9,8,6,7,5,Chennai,0
S0011,28,Male,IT Technician,87.42,0,7,1,3,4,1,0,J035,Automobile Mechanic,8,2,9,10,1,4,Bangalore,0
S0012,25,Female,Electrician,80.06,5,6,9,10,4,8,4,J117,Automobile Mechanic,5,4,3,5,5,11,Delhi,0
S0013,22,Male,Welder,87.65,5,12,10,9,8,9,5,J176,Electrical Technician,2,1,8,7,3,12,Chennai,1
S0014,21,Female,Mechanic,77.06,4,12,2,3,3,0,2,J276,Plumbing Assistant,5,2,10,7,2,0,Mumbai,0
S0015,25,Male,Welder,64.54,3,7,2,0,8,10,0,J085,Welding Operator,1,6,2,8,2,7,Mumbai,1
S0016,25,Male,IT Technician,87.53,2,10,8,0,1,1,5,J117,IT Support Technician,7,1,8,0,2,4,Delhi,1
S0017,20,Male,Electrician,61.02,1,11,6,10,0,2,1,J204,Plumbing Assistant,10,1,6,4,7,4,Pune,0
S0018,23,Male,IT Technician,63.29,1,9,7,8,1,1,9,J146,Automobile Mechanic,1,7,6,10,4,2,Mumbai,1
S0019,22,Female,Carpenter,78.03,0,1,8,3,4,10,8,J215,Woodwork Assistant,1,9,10,6,9,9,Bangalore,0
S0020,19,Female,Welder,80.61,1,8,5,9,8,8,6,J105,Automobile Mechanic,3,3,7,5,8,11,Chennai,0
